"Library","PrincipalType","DisplayName","Roles"
"#-D","SharePointGroup","Goodwin Austin Owners","Full Control"
"#-D","SharePointGroup","Goodwin Austin Visitors","Read"
"#-D","SharePointGroup","Goodwin Austin Members","Edit"
"#-D","User","Admin Josh Hicks","Edit"
"#-D","SecurityGroup","GoodwinAustinTeamAccess","Contribute"
"Documents","User","Impact Admin","Full Control"
"Documents","SecurityGroup","GoodwinAustinTeamAccess","Contribute"
"E-H","User","Impact Admin","Full Control"
"E-H","SecurityGroup","GoodwinAustinTeamAccess","Contribute"
"I-M","User","Impact Admin","Full Control"
"I-M","SecurityGroup","GoodwinAustinTeamAccess","Contribute"
"N-R","User","Impact Admin","Full Control"
"N-R","SecurityGroup","GoodwinAustinTeamAccess","Contribute"
"S-U","User","Impact Admin","Full Control"
"S-U","SecurityGroup","GoodwinAustinTeamAccess","Contribute"
"V-Z","User","Impact Admin","Full Control"
"V-Z","SecurityGroup","GoodwinAustinTeamAccess","Contribute"
