"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\1-QualityControl","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\1-QualityControl","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\1-QualityControl","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\1-QualityControl","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\1-QualityControl","TONNANDBLANK\Quality","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\ASTM","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\ASTM","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\ASTM","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\ASTM","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\ASTM","TONNANDBLANK\Quality","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\FHMC-FRC","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\FHMC-FRC","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\FHMC-FRC","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\FHMC-FRC","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\FHMC-FRC","TONNANDBLANK\Quality","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\IR PHOTOS FOR STEVE SHULL","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\IR PHOTOS FOR STEVE SHULL","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\IR PHOTOS FOR STEVE SHULL","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\IR PHOTOS FOR STEVE SHULL","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\IR PHOTOS FOR STEVE SHULL","TONNANDBLANK\Quality","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\NFPA","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\NFPA","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\NFPA","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\NFPA","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\NFPA","TONNANDBLANK\Quality","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\OF InPro Meeting Video","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\7-Quality\OF InPro Meeting Video","CREATOR OWNER","Allow","FullControl","True"
