"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\001 Transition Documents","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\001 Transition Documents","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\001 Transition Documents","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\001 Transition Documents","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\001 Transition Documents","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\2021 Budget","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\2021 Budget","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\2021 Budget","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\2021 Budget","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\2021 Budget","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Analytics","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Analytics","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Analytics","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Analytics","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Analytics","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Benchmarking","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Benchmarking","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Benchmarking","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\24?HospitalFacilitiesEngineering\Benchmarking","BUILTIN\Administrators","Allow","FullControl","True"
