"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Forms","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Forms","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Forms","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Forms","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Forms","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\project backups","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\project backups","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\project backups","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\project backups","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\project backups","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports\New Folder","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports\New Folder","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports\New Folder","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports\New Folder","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\Exprpts\Reports\New Folder","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
