"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\1-SafetyManual","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\1-SafetyManual","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\1-SafetyManual","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\1-SafetyManual","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\1-SafetyManual","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\10-Monthly Metrics","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\10-Monthly Metrics","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\10-Monthly Metrics","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\10-Monthly Metrics","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\10-Monthly Metrics","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\11-ICRA, MOP, ILSM","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\11-ICRA, MOP, ILSM","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\11-ICRA, MOP, ILSM","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\11-ICRA, MOP, ILSM","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\11-ICRA, MOP, ILSM","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\2-Administrative","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\2-Administrative","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\2-Administrative","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\2-Administrative","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\2-Administrative","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\3-Training","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\3-Training","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\3-Training","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\3-Training","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\3-Training","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\4-OSHA","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\4-OSHA","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\4-OSHA","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\4-OSHA","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\4-OSHA","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\5-HealthSafetyAudits","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\5-HealthSafetyAudits","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\5-HealthSafetyAudits","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\5-HealthSafetyAudits","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\5-HealthSafetyAudits","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\6-BackgroundDrugScreening","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\6-BackgroundDrugScreening","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\6-BackgroundDrugScreening","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\6-BackgroundDrugScreening","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\6-BackgroundDrugScreening","TONNANDBLANK\Safety","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\8-Safety\7- Safety Committee","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
